第	B
三	I
章	E
，	S
区	B
域	E
基	B
础	E
地	B
质	E
背	B
景	E
条	B
件	E
。	S


第	B
一	I
节	E
，	S
地	B
形	E
地	B
貌	E
。	S


东	B
部	E
为	S
赣	B
抚	I
冲	I
积	I
平	I
原	E
，	S
地	B
势	E
平	B
坦	E
，	S
水	B
网	E
交	B
织	E
，	S
湖	B
泊	E
棋	B
布	E
，	S
地	B
面	I
标	I
高	E
多	S
在	S
2	B
0	I
m	E
以	B
下	E
。	S


一	S
、	S
区	B
域	I
地	I
层	E
对	B
比	E
特	B
征	E
。	S


南	B
昌	I
市	I
规	I
划	I
区	E
位	B
于	E
扬	B
子	I
地	I
层	I
区	E
的	S
南	S
缘	S
，	S
地	B
处	E
九	B
岭	I
隆	I
起	E
与	S
萍	B
(	I
乡	I
)	I
—	I
乐	I
(	I
平	I
)	I
拗	I
陷	I
带	E
的	S
接	B
触	I
地	I
段	E
。	S


根	B
据	E
测	B
区	E
各	S
时	B
代	E
地	B
层	E
之	S
接	B
触	I
关	I
系	E
、	S
岩	B
性	I
组	I
合	E
、	S
沉	B
积	I
环	I
境	E
、	S
标	B
志	I
层	E
或	S
类	B
标	I
志	I
层	E
等	S
特	B
征	E
及	S
《	S
江	B
西	I
省	E
区	B
域	E
地	B
质	I
志	E
》	S
（	S
2	B
0	I
1	I
7	E
）	S
的	S
划	B
分	E
方	B
案	E
，	S
规	B
划	I
区	E
内	S
共	S
划	B
分	E
组	B
级	E
岩	B
石	E
地	B
层	I
单	I
位	E
1	B
3	I
个	E
（	S
表	B
3	I
-	I
2	E
）	S
。	S


根	B
据	E
构	B
造	I
地	I
层	E
分	B
区	E
及	S
岩	B
石	I
地	I
层	E
单	B
位	I
群	E
、	S
组	S
建	B
立	E
原	B
则	E
，	S
仅	S
出	B
露	E
牛	B
头	I
岭	I
组	E
与	S
安	B
乐	I
林	I
组	E
两	B
个	E
组	S
，	S
属	S
扬	B
子	I
地	I
层	I
区	E
。	S


依	B
据	E
前	B
人	E
地	B
质	E
资	B
料	E
与	S
本	S
次	S
工	B
作	E
成	B
果	E
，	S
根	B
据	E
岩	B
性	I
组	I
合	I
特	I
征	E
分	B
为	E
昌	B
北	I
千	I
枚	I
岩	E
与	S
梅	B
岭	I
片	I
麻	I
岩	E
，	S
呈	S
北	B
东	I
向	E
展	B
布	E
。	S


其	B
中	E
，	S
昌	B
北	I
千	I
枚	I
岩	E
岩	B
性	E
比	B
较	E
单	B
一	E
。	S


昌	B
北	I
千	I
枚	I
岩	E
仅	S
出	B
露	E
于	S
南	B
昌	E
北	B
西	E
之	S
张	B
家	I
村	I
-	I
袁	I
家	I
-	I
李	I
家	I
边	I
-	I
乐	I
化	E
一	B
线	E
以	B
南	E
至	S
赣	B
江	E
北	S
支	S
之	B
间	E
。	S


原	B
岩	E
应	S
属	S
海	B
相	I
粘	I
土	I
质	I
－	I
火	I
山	I
碎	I
屑	I
沉	I
积	I
建	I
造	E
。	S


据	S
赢	B
上	I
-	I
老	I
鹰	I
脑	E
剖	B
面	I
资	I
料	E
，	S
大	B
致	E
可	S
分	B
为	E
上	S
、	S
中	S
、	S
下	S
三	B
个	E
岩	S
性	B
段	E
。	S


下	B
部	E
主	B
要	E
为	S
片	B
状	I
千	I
枚	I
岩	E
，	S
系	S
沿	S
断	B
裂	I
线	E
分	B
布	E
，	S
出	B
露	E
厚	S
约	S
1	B
6	I
m	E
。	S


现	S
根	B
据	E
《	S
江	B
西	I
省	E
区	B
域	E
地	B
质	I
志	E
》	S
（	S
2	B
0	I
1	I
3	E
）	S
的	S
划	B
分	E
方	B
案	E
，	S
故	S
暂	S
归	B
之	I
为	E
青	B
白	I
口	I
纪	E
。	S


后	B
期	E
受	S
梅	B
岭	I
花	I
岗	I
闪	I
长	I
岩	E
边	B
缘	I
交	I
代	I
混	I
合	I
作	I
用	E
和	S
韧	B
性	I
剪	I
切	I
双	I
重	I
强	I
烈	I
改	I
造	E
而	S
成	S
的	S
片	B
麻	I
岩	E
，	S
经	S
风	B
化	E
后	S
，	S
呈	S
厚	B
层	E
、	S
疏	B
松	E
、	S
多	B
孔	E
、	S
质	B
地	E
之	S
风	B
化	I
片	I
麻	I
岩	E
，	S
厚	B
度	E
大	B
于	E
2	B
6	I
4	I
m	E
。	S


仅	S
零	B
星	E
出	B
露	E
于	S
规	B
划	I
区	E
北	B
部	E
塘	B
头	E
、	S
坝	B
上	I
村	E
、	S
上	B
溪	I
李	I
家	I
村	E
等	S
地	B
区	E
。	S


为	S
一	B
套	E
海	B
相	I
碎	I
屑	I
岩	E
建	B
造	E
。	S


2	S
、	S
白	B
垩	I
纪	I
地	I
层	E
。	S


但	S
据	S
钻	B
孔	E
和	S
地	B
震	I
剖	I
面	I
资	I
料	E
，	S
在	S
第	B
四	I
纪	I
覆	I
盖	I
层	E
以	B
下	E
之	S
盆	B
地	E
中	S
，	S
尚	S
有	S
广	B
泛	E
分	B
布	E
。	S


出	B
露	E
面	B
积	E
1	B
0	I
.	I
2	I
8	I
k	I
m	I
2	E
。	S


厚	B
度	E
大	B
于	E
1	B
0	I
6	I
2	I
m	E
。	S


（	S
2	S
）	S
莲	B
荷	I
组	E
(	S
K	B
2	I
l	E
)	S
。	S


仅	S
零	B
星	E
出	B
露	E
于	S
生	B
米	I
镇	I
上	I
下	I
洲	E
等	S
地	B
区	E
。	S


为	S
一	B
套	E
河	B
湖	I
相	I
紫	I
红	I
色	I
碎	I
屑	I
岩	E
建	B
造	E
。	S


岩	B
性	E
为	S
紫	B
红	I
色	I
中	I
层	I
状	I
长	I
石	I
石	I
英	I
砂	I
岩	E
、	S
砂	B
砾	I
岩	E
、	S
粉	B
砂	I
质	I
泥	I
岩	E
、	S
泥	B
岩	E
、	S
粉	B
砂	I
岩	E
。	S


出	B
露	E
面	B
积	E
2	B
.	I
2	I
2	I
k	I
m	I
2	E
，	S
占	S
规	B
划	I
区	E
总	S
面	B
积	E
0	B
.	I
1	I
5	I
%	E
。	S


厚	B
度	E
大	B
于	E
3	B
7	I
0	I
m	E
。	S


其	S
下	S
与	S
上	B
白	I
垩	I
纪	I
龟	I
峰	I
群	E
呈	S
整	B
合	I
接	I
触	E
，	S
局	B
部	E
地	B
区	E
，	S
尚	B
可	E
超	B
覆	I
沉	I
积	E
于	S
万	B
年	I
群	I
程	I
源	I
组	E
之	B
上	E
。	S


底	B
部	E
以	S
紫	B
红	I
色	I
厚	I
层	I
～	I
巨	I
厚	I
层	I
状	I
砾	I
岩	E
、	S
砂	B
砾	I
岩	E
、	S
含	B
砾	I
砂	I
岩	E
为	B
主	E
，	S
中	S
夹	S
砂	B
岩	E
及	S
粉	B
砂	I
岩	E
。	S


砾	B
石	E
成	B
分	E
以	S
砂	B
岩	E
及	S
